iter	Accuracy	Logloss
220	0.709172384	0.5633279339
221	0.7092976328	0.5632404866
222	0.7092976328	0.5632000751
223	0.7091584675	0.5630886442
224	0.7092419667	0.5630332021
225	0.7092976328	0.5629814146
226	0.709408965	0.5629407951
227	0.7094646311	0.562875563
228	0.7096316295	0.5628156495
229	0.7097151287	0.5627720903
230	0.7097986278	0.5627296469
231	0.7097847113	0.5626902364
232	0.7099238766	0.5626190346
233	0.7099795427	0.562578661
234	0.7098682105	0.5625292688
235	0.7099377931	0.5624972107
236	0.7099099601	0.5624630983
237	0.7099934592	0.5623932881
238	0.7100352088	0.5623617794
239	0.7102578733	0.5622994713
240	0.7102300402	0.5622394123
241	0.7101882906	0.5621797973
242	0.7104527047	0.5621356595
243	0.7106892857	0.5620616094
244	0.7106753691	0.5620420081
245	0.7108145344	0.5619995336
246	0.7109258667	0.5619555124
247	0.7108702005	0.5618989465
248	0.7108145344	0.5618470155
249	0.7109676162	0.5617895248
250	0.7110650319	0.5616991359
251	0.7112181138	0.5616491996
252	0.7112181138	0.5615988524
253	0.7112041972	0.561540189
254	0.7113016129	0.5614970457
255	0.7112876964	0.5614368647
256	0.7112320303	0.5613901454
257	0.7112876964	0.5613524638
258	0.7112459468	0.5613030745
259	0.7112598633	0.5612689629
260	0.7113851121	0.5611912025
261	0.7114964443	0.5611289373
262	0.7115381939	0.5610946434
263	0.7114964443	0.5610071256
264	0.7114825278	0.5609618924
265	0.7114686113	0.5608989021
266	0.7115103609	0.5608369808
267	0.711357279	0.5607736527
268	0.7113990286	0.560757136
269	0.7113711956	0.5607354865
270	0.7115381939	0.5606794753
271	0.7115103609	0.5606014598
272	0.7114825278	0.5605511548
273	0.7115521104	0.560519532
274	0.7116634427	0.5604635388
275	0.7116495261	0.5604190901
276	0.7116773592	0.5603829462
277	0.7116912757	0.5603316115
278	0.7116912757	0.5602506949
279	0.7116912757	0.5602340696
280	0.7116773592	0.5601689297
281	0.7117608584	0.5601479559
282	0.711802608	0.5600586958
